Episode,Cross-Entropy Method,Cross-Entropy Method_ErrorBar
975,-2.27892e-07,3.37102e-07
976,0.0140671,0.0141425
977,0.00576812,0.00534235
978,2.43081e-06,2.43081e-06
979,0.0202487,0.0202487
980,3.40663e-09,3.42318e-09
981,3.12389e-07,3.12389e-07
982,0.0213144,0.0213144
983,-0.649791,0.649794
984,0.00689592,0.00689592
985,1.38265e-06,1.38265e-06
986,2.67834e-07,2.67834e-07
987,3.29367e-08,3.26937e-08
988,-1.51474,1.51856
989,-0.258018,0.264475
990,0.0192362,0.0192362
991,-0.396095,0.396095
992,-0.0680932,0.0680932
993,-0.0991918,0.0991592
994,0.000178763,0.000180764
995,-0.0930265,0.0930265
996,-0.0996982,0.0986751
997,-0.00474871,0.00474871
998,-0.126551,0.126551
999,-0.0763688,0.0763689
1000,-1.14271,1.09209
